start_date,recipient_last_name,recipient_first_name,corp_id,display_name,first_name,last_name,what_is_your_grade_level,would_you_like_to_be_a_mentor_or_a_mentee,would_you_prefer_a_mentee_within_your_business_unit_group,what_are_your_strongest_skills_please_choose_your_top_3,what_topics_are_you_knowledgeable_on_please_choose_your_top_3,which_expectations_can_you_help_fulfill_please_choose_your_top_3,do_you_prefer_2_2_or_would_you_be_comfortable_mentoring_more_than_one_person,would_you_consider_yourself_an_extrovert_or_an_introvert,which_personality_type_would_you_prefer_to_be_paired_with,which_of_the_following_best_describes_you_as_a_person,please_tell_us_in_your_own_words_why_you_want_to_be_a_mentor_what_are_your_expectations_and_intended_outcomes_please_provide_a_detailed_response_of_3_4_sentences,are_there_any_special_considerations_that_you_would_like_known_when_your_application_is_reviewed_is_your_desire_to_participate_based_on_certain_criteria_that_you_have_in_mind_that_was_not_covered_in_the_previous_questions_please_list_that_information_here,would_you_prefer_a_mentor_with_your_current_job_role_or_one_above,what_skills_would_you_like_to_improve_please_choose_your_top_3,what_topics_are_you_interested_in_please_choose_your_top_3,what_are_your_expectations_for_this_program_please_choose_your_top_3,would_you_consider_yourself_an_extrovert_or_an_introvert_2,which_personality_type_would_you_prefer_to_be_paired_with_2,which_of_the_following_best_describes_you_as_a_person_2,please_tell_us_in_your_own_words_why_you_want_to_be_a_mentee_what_are_your_expectations_and_intended_outcomes_please_provide_a_detailed_response_of_3_4_sentences,are_there_any_special_considerations_that_you_would_like_known_when_your_application_is_reviewed_is_your_desire_to_participate_based_on_certain_criteria_that_you_have_in_mind_that_was_not_covered_in_the_previous_questions_please_list_that_information_here_2,affiliation_group,affiliation_unit,source_year
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",Last0410,First0410,CID0410,PERSON_0410,First0410,Last0410,"{""ImportId"":""QID118""}","{""Importid"":""Qid59""}","{""ImportId"":""QID95""}","{""termdbs"":""termcsj""}","{""termdbs"":""termcsk""}","{""termdbs"":""termcsl""}","{""ImportId"":""QID64""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID114""}","{""termdbs"":""termcsr_termdym""}","{""termdbs"":""termcsp_termdym""}","{""ImportId"":""QID65""}","{""termdbs"":""termcsm""}","{""termdbs"":""termcsn""}","{""termdbs"":""termcso""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID115""}","{""termdbs"":""termcss_termdym""}","{""termdbs"":""termcsq_termdym""}",Group 05,Unit 07,2024
45425.490810185183,Last0093,First0093,CID0093,PERSON_0093,First0093,Last0093,Grade 7,Mentor,No preference,"termbtk/termajf,termczn termeas/reviewguide termaqk,effortframe/termduz","termalt termctu,termbhr termaxs/termaoo careerdialog,learnapproach","termarp optionmodel termbrc,termcay effortapproach termadj effortpath futuredialog termccv,termcfe termdxu termalt termcnb",1 mentee,Introvert,No preference,Structured / Process-driven / Logical,termbuj,termbuj,,,,,,,,,,Group 01,Unit 10,2024
45427.376550925925,Last0003,First0003,CID0003,PERSON_0003,First0003,Last0003,Grade 4,Mentee,,,,,,,,,,,Above,"termbtk / termajf,termczn termeas / reviewguide termaqk,practicewindow termcyx / termaud growthmatch","termalt termctu,termanz optionmodel,termdzz termajf / skillmodel","termarp effortapproach optionmodel termbrc,termcay effortapproach termadj effortpath futuredialog termccv,termcfe termdxu termalt termcnb",Extrovert,Extrovert,Creative / Explorer / Experimenter,"termbec termaaa termark termbla termbwz, termbev termbec termdjn termbqz termaum termajw effortapproach termccn termbev learnguide termcto termdvx changeshare termbiq termdsn termdvx termdfl termakc contextfield termdxu termbhr",termcpr,Group 01,Unit 08,2024
45427.37703703704,Last0411,First0411,CID0411,PERSON_0411,First0411,Last0411,Grade 7,Mentor,No preference,"termczn termeas/reviewguide termaqk,practicewindow termcyx/termaud growthmatch,reviewmatch optionmodel/termbwl","termdks & learnsummary,termdzz termajf/skillmodel,learnapproach","termclr contextshare,termcay effortapproach termadj effortpath futuredialog termccv,termcfe termdxu termalt termcnb",1 mentee,Introvert,No preference,Structured / Process-driven / Logical,"termbec termbut focustopic termafq termark termabl termbrc, termcuf termbec careerframe termbmz termctm termdvf effortapproach termapq-termdhl. termaum termafq teamsystem supportinsight (termbec termbhd effortapproach ""valueguide termebk"" termalg focussignal mentorapproach leaderprocess termadj skillframe 3 effortpoint) termbev valuepoint (termcyv termddb termbxd termdxu futuredialog termbev termdoa termdgm effortapproach futuredialog termaqo reportanalysis contextfield termdxu termdjs termchd). termbec futureview termaju termaqc termcfj termdvx termbse teamsystem termbja termccm.",reasonchoice/effortapproach. termbrr termdvx termcto termczy termajp reportprocess designfield.,,,,,,,,,,Group 04,Unit 12,2024
45427.377488425926,Last0325,First0325,CID0325,PERSON_0325,First0325,Last0325,Grade 6,Mentor,No preference,"termbtk/termajf,termczn termeas/reviewguide termaqk,practicewindow termcyx/termaud growthmatch","termalt termctu,resultroute termdvr,termanz optionmodel","termcfe termdxu termalt termcnb,termdco termcyx,termdco termbhr contextgroup",1 mentee,Extrovert,No preference,Structured / Process-driven / Logical,termbec futureview termdmn termdvx growthwindow changesummary termbev termcto termbse termaee termcag termdvx termbas termaxw termafg termdvp termbgq skillframe termbgi. termdxu termdge termaly termdvx termagr effortapproach planroute termbev effortapproach growthrecord termbqz termaqc termahp termbgc mentorshare contextfield. termbec termdmn methodframe termcto termalg termbhr termbrb termbev termcdj termbja termbhs termctu contextfield termaqc focusapproach.,reasonchoice/effortapproach,,,,,,,,,,Group 05,Unit 12,2024
45427.378611111111,Last0039,First0039,CID0039,PERSON_0039,First0039,Last0039,Grade 7,Mentor,No preference,"termbtk/termajf,effortframe/termduz,reviewmatch optionmodel/termbwl","termdks & learnsummary,termanz optionmodel,termdzz termajf/skillmodel","termdpc termdvx termagr termark termccm termavi,termarp optionmodel termbrc,termcay effortapproach termadj effortpath futuredialog termccv",2 mentees,Extrovert,No preference,Structured / Process-driven / Logical,termbec termbut effortthread contextfield reviewshare teamchoice termazu termbev termdmn termbyz! termbec learnguide termdvx termagr effortapproach termbrx termdiz termbqz termbec termbgc growthwindow changesummary termbev termdhy termdmk contextfield termcqj termbhr termeaq. termddb termaly termark termcyb termafw termbev termbec learnguide termdvx reviewfield termdxu termagg termdvx termawz termbyz learnoutcome!,,,,,,,,,,,Group 01,Unit 02,2024
45427.378113425926,Last0412,First0412,CID0412,PERSON_0412,First0412,Last0412,Grade 3,Mentee,,,,,,,,,,,Above,"termbtk / termajf,practicewindow termcyx / termaud growthmatch,effortframe / termduz","termalt termctu,termdzz termajf / skillmodel,termbhr termaxs/termaoo careerdialog","termcay effortapproach termadj effortpath futuredialog termccv,termdxn termcyx,termdxn termdxu termbhr contextgroup",Introvert,Extrovert,Creative / Explorer / Experimenter,"termbec termbut termamd termcyv termaqc termddb leaderprocess termadj skillframe effortapproach termaph studysummary termbev termbec termaaa contextfield termdmn termalg termacu termaqc termblb termaqc termaef skillnetwork leaderprocess termbaj. termdxu termaaw futureview termagr termdvx termbga termdxu practicewindow termbev termduz termcnb, termdxu termdei termdkk termaly termdvx termdfc effortapproach careerprofile termaqo termbhr termbpt termcko termbqz termcxp termdnc termbev termdhy termdxu termeaq termbwd.",termbec termdjn termbqz termbec designtopic termaqc termber termcnb termbev termaud growthmatch termdvx termamg termdxu termbrb termbev futureview optionpath termdvx termbpw termbqz reviewshare termaly effortapproach termdfn termbla leaderprocess termagm.,Group 03,Unit 01,2024
45427.379652777781,Last0413,First0413,CID0413,PERSON_0413,First0413,Last0413,Grade 5,Mentor,No preference,"termbtk/termajf,practicewindow termcyx/termaud growthmatch,reviewmatch optionmodel/termbwl","termand mentormodel,termdge futureprofile,learnapproach","termcay effortapproach termadj effortpath futuredialog termccv,termdco termcyx,termdco termbhr contextgroup",1 mentee,Extrovert,No preference,Creative / Explorer / Experimenter,"termdvf termark termdmz-termbad termcjl termdhl, termbec termbut leadermatch termaqc termdvj termaqo termcdj termbwg termalg termdxu termcqn termdvx termcto termbkw termbsy termcqj termcjl termckg termbev reporttrack termcqr-termbjf termbrb. termanf termbkw contextfield termbwv termcqj termead supportanalysis, termbqp supportinsight termbev valuepoint, termdsx termamd effortapproach termdng termaqo termdxu careersystem termawh. termdxu termbrc termbsg supportgroup termdge-futureprofile. termbec termdai termdwc termcqn contextfield termdni termaxd termcft termbev methodanalysis termbkw termdvx termdxs effortapproach logicthread termaed. termduv termbvz termbkw termarb leaderprocess termcqj termbtp, termbec termbwy termbkw termdvx logicmodel termard termcip leadernetwork termcqj mentorfield.",,,,,,,,,,,Group 04,Unit 01,2024
45427.378819444442,Last0414,First0414,CID0414,PERSON_0414,First0414,Last0414,Grade 6,Mentor,No preference,"termbog/impactnetwork termdhg,termanh/termcnn,termczn termeas/reviewguide termaqk","termalt termctu,termbhr termaxs/termaoo careerdialog,learnapproach","termclr contextshare,termdwn methodeffort futurefield termdhp,termcfe termdxu termalt termcnb",1 mentee,Introvert,No preference,Structured / Process-driven / Logical,"contextfield termdxu termbla termbfg termark termbrx revieweffort termaqo termdna termagf detailsummary termbgc termagr termbcb termdvf termayj detailthread termdna termcjl termbev termbhr termcyv termddb.  practicerecord termbgc termcto termayj termdco termcnb, termbmd termdna careerprofile termbev termacm termdna termbhr. effortapproach termbrx termbgc growthwindow designframe  contextshare studychoice insightbridge termbev termcwm termbev termbgc termcto termayj termdvx growthview termazk termbev termdms studychoice termdna termbrb, termcto termayj termdvx termdwn termdzc  termcnb termbev termdvf termdta termdvf termbse focusmodel skillmodel termbev focuspoint. termbec termbut effortthread termdvf termbqp termbrx termbev  termahp contextfield termbpx termczh termacs contextfield termdxu 9 effortpoint termcyv termddb termbev termbut termcdv effortapproach termcmg termdgw termaqo termcko termbqz termbut termaaq termagr termdxu impactpath termbyn termbev termbot termdzw termdxu termbla termdvx valueprofile termcqj termaim.",,,,,,,,,,,Group 01,Unit 01,2024
45427.382997685185,Last0413,First0413,CID0413,PERSON_0413,First0413,Last0413,Grade 5,Mentee,,,,,,,,,,,Above,"termczn termeas / reviewguide termaqk,effortframe / termduz,methodfield termagc","termcsi termbkc,termalt termctu,termbhr termaxs/termaoo careerdialog","termclr termdxu contextshare,termarp effortapproach optionmodel termbrc,termcay termdta-termahf termcyv termddb",Extrovert,No preference,Creative / Explorer / Experimenter,teamsystem termaly effortapproach termamw termcns.. termbec termdef termchh termdvx termaqc termeaq termaqo termbha termdfn termbev growthfield leaderprocess termbqp termagm termbev termdxu termbev termahp.,,Group 04,Unit 01,2024
