start_date,recipient_last_name,recipient_first_name,corp_id,display_name,first_name,last_name,what_is_your_grade_level,would_you_like_to_be_a_mentor_or_a_mentee,would_you_prefer_a_mentee_within_your_business_unit_group,what_are_your_strongest_skills_please_choose_your_top_3,what_topics_are_you_knowledgeable_on_please_choose_your_top_3,which_expectations_can_you_help_fulfill_please_choose_your_top_3,do_you_prefer_2_2_or_would_you_be_comfortable_mentoring_more_than_one_person,would_you_consider_yourself_an_extrovert_or_an_introvert,which_personality_type_would_you_prefer_to_be_paired_with,which_of_the_following_best_describes_you_as_a_person,please_tell_us_in_your_own_words_why_you_want_to_be_a_mentor_what_are_your_expectations_and_intended_outcomes_please_provide_a_detailed_response_of_3_4_sentences,are_there_any_special_considerations_that_you_would_like_known_when_your_application_is_reviewed_is_your_desire_to_participate_based_on_certain_criteria_that_you_have_in_mind_that_was_not_covered_in_the_previous_questions_please_list_that_information_here,would_you_prefer_a_mentor_with_your_current_job_role_or_one_above,what_skills_would_you_like_to_improve_please_choose_your_top_3,what_topics_are_you_interested_in_please_choose_your_top_3,what_are_your_expectations_for_this_program_please_choose_your_top_3,would_you_consider_yourself_an_extrovert_or_an_introvert_2,which_personality_type_would_you_prefer_to_be_paired_with_2,which_of_the_following_best_describes_you_as_a_person_2,please_tell_us_in_your_own_words_why_you_want_to_be_a_mentee_what_are_your_expectations_and_intended_outcomes_please_provide_a_detailed_response_of_3_4_sentences,are_there_any_special_considerations_that_you_would_like_known_when_your_application_is_reviewed_is_your_desire_to_participate_based_on_certain_criteria_that_you_have_in_mind_that_was_not_covered_in_the_previous_questions_please_list_that_information_here_2,affiliation_group,affiliation_unit,source_year
45036.62847222222,Last0001,First0001,CID0001,PERSON_0001,First0001,Last0001,Grade 3,,,,,,,,,,,,,,,,,,,,,Group 03,Unit 12,2023
45036.63333333333,Last0001,First0001,CID0001,PERSON_0001,First0001,Last0001,Grade 3,,,,,,,,,,,,,,,,,,,,,Group 03,Unit 12,2023
45036.64027777778,Last0002,First0002,CID0002,PERSON_0002,First0002,Last0002,Grade 1,Mentee,,,,,,,,,,,Above,"termbog / impactnetwork termdhg,effortframe / termduz,plansignal / changeapproach","termanz optionmodel,termbhr termaxs/termaoo careerdialog,learnapproach","termcfe termdxu termalt termcnb,termdxn termcyx,termdxn termdxu termbhr contextgroup",Extrovert,Extrovert,Creative / Explorer / Experimenter,termbec learnguide termark termckp termdvx careerprofile termbev termdwn planpath termanz termcyv termczh termbve contextfield termddb. termbec learnguide termdvx reviewfield reviewshare termdvx termcto methodmatch effortapproach learnoutcome termckg termaqo termaqc termbhr termbbi termbec learnguide termdvx logicmodel termbwd.,,Group 05,Unit 05,2023
45036.64027777778,Last0003,First0003,CID0003,PERSON_0003,First0003,Last0003,Grade 4,Mentor,No,"termbtk/termajf,effortframe/termduz,termako/termcqa","termalt termctu,resultroute termdvr,termbhr termaxs/termaoo careerdialog","termclr contextshare,termdwn methodeffort futurefield termdhp,termdco termbhr contextgroup",1 mentee,Extrovert,No preference,Creative / Explorer / Experimenter,"termbec futureview optionpath termdvx termagr effortapproach termbrx termakr, termbec learnguide termdvx termdch termaqc termdea termaum termapx contextfield termdxu futurepoint effortpoint termcyv termddb. termbec learnguide termdvx termdnc termbev termbck termcdb termdvx termdxu termahp termbqz termbxe termbgc mentoranalysis termdvx termcqj termbuv termbrc. termbec termcdb termdvx termawz effortapproach plangroup focusdialog studychoice termdxu termahp, termdiz learngroup termbgc termdwy termcqj termbjz.",termdls,,,,,,,,,,Group 01,Unit 08,2023
45036.64236111111,Last0004,First0004,CID0004,PERSON_0004,First0004,Last0004,Grade 4,Mentor,No preference,"termbog/impactnetwork termdhg,termczn termeas/reviewguide termaqk,practicewindow termcyx/termaud growthmatch","termdks & learnsummary,termcsi termbkc,termalt termctu","termdpc termdvx termagr termark termccm termavi,termclr contextshare,termcay effortapproach termadj effortpath futuredialog termccv",1 mentee,Introvert,No preference,Creative / Explorer / Experimenter,,,,,,,,,,,,Group 03,Unit 01,2023
45036.64097222222,Last0005,First0005,CID0005,PERSON_0005,First0005,Last0005,Grade 4,Mentee,,,,,,,,,,,Above,"termbtk / termajf,practicewindow termcyx / termaud growthmatch,effortframe / termduz","termalt termctu,termanz optionmodel,termdzz termajf / skillmodel","termclr termdxu contextshare,termarp effortapproach optionmodel termbrc,termcfe termdxu termalt termcnb",Introvert,Extrovert,Structured / Process-driven / Logical,contextfield termaqc termbgj termbrg effortapproach termahp termdsx termaaq termdxu termbhs termbev termalt termctu. leaderprocess termaqc termbgj termbav effortpoint termbec termbut termamd termabw termalg practicerecord termaxw termbut termbcc termaaq termagm termacm practicenetwork termdxu termbhr. termbec termaaa termebl termdvx termdfl termdvx termdwn termbev termcjs termdvf effortapproach termahp,"contextfield termaqc termbgj termbec termbhd termabw termalg effortapproach termdun termebb. termbfg termaqc termdql termaqo effortapproach termebb termaaq termagm detailthread termdxu termdeh termbhr termbev termdco. termals termbyz termaly termcqf, termbec futureview termdmn termdvx insightnetwork termbqz termaqr.",Group 01,Unit 08,2023
45036.64027777778,Last0006,First0006,CID0006,PERSON_0006,First0006,Last0006,Grade 5,Mentee,,,,,,,,,,,Above,"termbtk / termajf,termczn termeas / reviewguide termaqk,practicewindow termcyx / termaud growthmatch","termanz optionmodel,termdzz termajf / skillmodel,termbhr termaxs/termaoo careerdialog","termarp effortapproach optionmodel termbrc,termcfe termdxu termalt termcnb,termdxn termdxu termbhr contextgroup",Introvert,No preference,Structured / Process-driven / Logical,termbec termdjn optionpath effortapproach termdhh effortapproach termaau termdvx practicepoint leaderprocess termagm. termbec termaaa termcyv effortapproach termahb contextfield termdxu termcjl termbev termbhr termbqz termbec termdhh effortapproach termcnh termdxi termbrx termdvx termbfl termagm termalt termbev termdhl termagm studychoice termcpq termbev termdcb termdvx reviewfield termdvx termcqq termaqc termalt termdig,reasonchoice/effortapproach,Group 04,Unit 02,2023
45036.64097222222,Last0007,First0007,CID0007,PERSON_0007,First0007,Last0007,Grade 4,Mentee,,,,,,,,,,,Above,"termbog / impactnetwork termdhg,practicewindow termcyx / termaud growthmatch,termako / termcqa","termalt termctu,resultroute termdvr,termbhr termaxs/termaoo careerdialog","termdwn termcqc methodeffort futurefield termdhp,termdxn termdxu termbhr contextgroup,termcay termdta-termahf termcyv termddb",Extrovert,No preference,Structured / Process-driven / Logical,termbec optionpath termdvx termbut termdvx termapd termdvx planview termbev termdwn revieweffort termaqo termcez termbec termaul termcyv termaqc impactframe termapl. termbec termbiz termbrg termdpy termdvx planview methodeffort termbpe termbyz termcxp termcfp termdnf termdxu termbkn termawd termcuf careerframe termagr termava termalg termdxu termbhr termcwi termchh.,termbec termbiz termbmg termcqc termafz termagm termdvx growthroute termdxu termduc termbev mentoranalysis termcsf termaqo termdxu valuetopic termcir.,Group 03,Unit 01,2023
45036.63958333333,Last0008,First0008,CID0008,PERSON_0008,First0008,Last0008,Grade 7,Mentor,No preference,"termanh/termcnn,termbtk/termajf,reviewmatch optionmodel/termbwl","termalt termctu,termanz optionmodel,termdge futureprofile","termcfe termdxu termalt termcnb,termdco termcyx,termdco termbhr contextgroup",2 mentees,Introvert,No preference,Structured / Process-driven / Logical,"termcne termbrg contextfield termddb termbev contextfield termbia reportprocess termaqo termdxu termbhr termcyv termddb, termbec termbgc termdch termbow termaqo termcwa termbev termbse termbow termaqo termcag planpath effortapproach termbhr termdql termdvf termdta.  termbec termbgc termdch termaee termclu termals reasonshare termafg termaql termakk termbqz termaqc termahp termdkg termbla methodwindow studychoice termdxu termakk contextfield termaqc termasi.  termbec termbgc termcto termbfl termbkw termdvx termazn termcva termcqj termbhr mentorfield",termcpr,,,,,,,,,,Group 02,Unit 03,2023
45036.64027777778,Last0009,First0009,CID0009,PERSON_0009,First0009,Last0009,Grade 4,Mentee,,,,,,,,,,,Above,"termbtk / termajf,effortframe / termduz,methodfield termagc","termdks & learnsummary,termcsi termbkc,resultroute termdvr","termarp effortapproach optionmodel termbrc,termcfe termdxu termalt termcnb,termdxn termcyx",Extrovert,Extrovert,Structured / Process-driven / Logical,termbec futureview optionpath termdvx termagr futureoutcome termdvf effortapproach termahp contextfield termbgs termdvx termdwn termdvf practiceapproach termdvf termcqf planpath termczh termafj termbwd termcyv termaqc termebr. termbec termdkj leaderprocess termark termadg detailsummary termawd termbev termbhd reportrecord termaqc termccl skillmodel termdvx careerprofile termalg termckk optionmodel termadj. reviewshare termaly termark termcfj termbecâ€™termbit optionpath termdvx termdwf studychoice.,"termbec futureview careerframe termdmn termdvx termagr futureoutcome futureframe termdvx termaqc termdlk termbqz termbecâ€™termdmy termctm studychoice skillmodel termchw planpath termbst, termbec learnguide termdvx termagr termaiu termdvf termavq termaxw termaly teamsignal termcqc termcqj termbhr termbev termcge studychoice skillmodel. termbec termaaa termbot termbeo termark termcwl termaqo termaqc termeaa teamchoice. (termauy 4)",Group 01,Unit 09,2023
